gene_id,split_role,experiment_group
03000969b4eaa68e2ea4490015be08d76aea54923afa75d9bee0acdf280817c9,test,F-S
03000969b4eaa68e2ea4490015be08d76aea54923afa75d9bee0acdf280817c9,test,G-E
03000969b4eaa68e2ea4490015be08d76aea54923afa75d9bee0acdf280817c9,test,F-E
0300aa4c69f1e19d4f96bb46ac80eb7301b63e8a3abc44547dc18ad45ee63565,test,G-S
0300aa4c69f1e19d4f96bb46ac80eb7301b63e8a3abc44547dc18ad45ee63565,test,F-S
0300aa4c69f1e19d4f96bb46ac80eb7301b63e8a3abc44547dc18ad45ee63565,test,G-E
0300aa4c69f1e19d4f96bb46ac80eb7301b63e8a3abc44547dc18ad45ee63565,test,F-E
03122430e0677b0716f873452aec0b01c5d1dba82728f50adc7a83577e34e42c,train,F-S
03122430e0677b0716f873452aec0b01c5d1dba82728f50adc7a83577e34e42c,train,F-E
032866befdb8f893d6ea1f6cef1c7a4686a036b985e8cc86bc032c4b15ebfdff,train,F-S
032866befdb8f893d6ea1f6cef1c7a4686a036b985e8cc86bc032c4b15ebfdff,train,F-E
0355d44cb461c3205f32c17fccca90874f2387b290e22203b2f670933dbdcc3f,train,F-S
0355d44cb461c3205f32c17fccca90874f2387b290e22203b2f670933dbdcc3f,train,F-E
035770b7b245b56c2fae8ca1524166fd9cd06ec4a035b88c70c69572c9b9542e,train,G-S
035770b7b245b56c2fae8ca1524166fd9cd06ec4a035b88c70c69572c9b9542e,train,G-E
0367447899c16f9e02b6df89c74c45c1c81d5655e6d811d105947957a74191a5,train,G-S
0367447899c16f9e02b6df89c74c45c1c81d5655e6d811d105947957a74191a5,train,G-E
03845cfcc9dc0fe961dc326f5cc4ee655c00b5ec84f2743796d829617617b290,train,F-S
03845cfcc9dc0fe961dc326f5cc4ee655c00b5ec84f2743796d829617617b290,train,F-E
0386fb8cd199a1372e7d1ab70add4a3d6ca50df4c1f41bac448a1b47aafa431f,train,F-S
0386fb8cd199a1372e7d1ab70add4a3d6ca50df4c1f41bac448a1b47aafa431f,train,F-E
03af47c2862a2126e945a01d64941edd08e2307d902a1e5abe589f1f805e8d65,train,G-S
03af47c2862a2126e945a01d64941edd08e2307d902a1e5abe589f1f805e8d65,train,G-E
03b10756f17d31838915b1b2b651cf63d5f1c38a256171b0d26a820aac27f420,dev,G-S
03b10756f17d31838915b1b2b651cf63d5f1c38a256171b0d26a820aac27f420,dev,F-S
03b10756f17d31838915b1b2b651cf63d5f1c38a256171b0d26a820aac27f420,dev,G-E
03b10756f17d31838915b1b2b651cf63d5f1c38a256171b0d26a820aac27f420,dev,F-E
03b18e4b45464c9c95e330f3ad5a47bab39d0d6cb3e6faa049070d0396e46b24,train,G-S
03b18e4b45464c9c95e330f3ad5a47bab39d0d6cb3e6faa049070d0396e46b24,train,G-E
03dbb01f334388a3f31d4817bfc260017f33ca30390c4f7812138ebb71c66fb4,train,F-S
03dbb01f334388a3f31d4817bfc260017f33ca30390c4f7812138ebb71c66fb4,train,F-E
040cd0af8e4781ad885a711b5687e117c92d37e33825e437f94344e35fb59a37,train,G-S
040cd0af8e4781ad885a711b5687e117c92d37e33825e437f94344e35fb59a37,train,G-E
0416ace8c8dea712dec01c787e92daad0dc75f0eb210b75a54142995b6808c52,train,G-S
0416ace8c8dea712dec01c787e92daad0dc75f0eb210b75a54142995b6808c52,train,G-E
041722bdfc9acfc5ad0892aeb8f702677849a3d9052c986d41da69ce85816efe,train,G-S
041722bdfc9acfc5ad0892aeb8f702677849a3d9052c986d41da69ce85816efe,train,G-E
04440e1007eb0a3c93310b971b2ebd6ba1abd0fa46bed7571be262b123208752,train,G-S
04440e1007eb0a3c93310b971b2ebd6ba1abd0fa46bed7571be262b123208752,train,G-E
047bf907d0db16639bcb89a390439f4eb5d0d3ec378f79256d10df22a11347d9,test,G-S
047bf907d0db16639bcb89a390439f4eb5d0d3ec378f79256d10df22a11347d9,test,F-S
047bf907d0db16639bcb89a390439f4eb5d0d3ec378f79256d10df22a11347d9,test,G-E
047bf907d0db16639bcb89a390439f4eb5d0d3ec378f79256d10df22a11347d9,test,F-E
04b81aab50bba3115ca20ea5494b52263d719dd61986492d18341ac89f34449b,train,F-S
04b81aab50bba3115ca20ea5494b52263d719dd61986492d18341ac89f34449b,train,F-E
04c5a6f981de8051d66cde7f11a97c64ff35ed380e813130ff425e4256e4c9f2,train,G-S
04c5a6f981de8051d66cde7f11a97c64ff35ed380e813130ff425e4256e4c9f2,train,G-E
04c9eb48b3eddbcdd625c091c686be36bb73a07cc626787d9dc937439bd4053d,train,F-S
04c9eb48b3eddbcdd625c091c686be36bb73a07cc626787d9dc937439bd4053d,train,F-E
04cbaf5269f9cdab052e06b9ec18ef4f8e9733de99d0498a2e6d8fb2d8eac846,train,F-S
04cbaf5269f9cdab052e06b9ec18ef4f8e9733de99d0498a2e6d8fb2d8eac846,train,F-E
04d90626ef8c7ff1916ef6b4964ef392c0895414c78bef70d1d131f5e5c72ca4,train,F-S
04d90626ef8c7ff1916ef6b4964ef392c0895414c78bef70d1d131f5e5c72ca4,train,F-E
04f03cb28ec05c3085c1779b47c4f83e9601e76a717a6de9df43f4820bb44e57,test,G-S
04f03cb28ec05c3085c1779b47c4f83e9601e76a717a6de9df43f4820bb44e57,test,F-S
04f03cb28ec05c3085c1779b47c4f83e9601e76a717a6de9df43f4820bb44e57,test,G-E
04f03cb28ec05c3085c1779b47c4f83e9601e76a717a6de9df43f4820bb44e57,test,F-E
05098f887561b655ed96a4c1604c6dd2c603a0d5250418919c9640a3757b1dbd,train,G-S
05098f887561b655ed96a4c1604c6dd2c603a0d5250418919c9640a3757b1dbd,train,G-E
050e062185f2163c7993cca8982c3c1964d431386f93759854ca0d6458e035eb,train,F-S
050e062185f2163c7993cca8982c3c1964d431386f93759854ca0d6458e035eb,train,F-E
0515966efa6c1409df726ad843a37661c4676f9c07bdf7e7a674663d6f30bdae,train,G-S
0515966efa6c1409df726ad843a37661c4676f9c07bdf7e7a674663d6f30bdae,train,G-E
05389c43608d9c9aa9c06f61fec2fc929402bc9b0f2de7d9f81adcdb8f106d27,train,G-S
05389c43608d9c9aa9c06f61fec2fc929402bc9b0f2de7d9f81adcdb8f106d27,train,G-E
05389c43608d9c9aa9c06f61fec2fc929402bc9b0f2de7d9f81adcdb8f106d27,train,F-S
05389c43608d9c9aa9c06f61fec2fc929402bc9b0f2de7d9f81adcdb8f106d27,train,F-E
05393b8e5138fe414b9271cc613db0e09258db947f4b70df3a817a2c6af07327,dev,G-S
05393b8e5138fe414b9271cc613db0e09258db947f4b70df3a817a2c6af07327,dev,F-S
05393b8e5138fe414b9271cc613db0e09258db947f4b70df3a817a2c6af07327,dev,G-E
05393b8e5138fe414b9271cc613db0e09258db947f4b70df3a817a2c6af07327,dev,F-E
055edf40c6ec0be32ab56eb5ba6b44db868cc1e2d5cb0498b6d51a4e593249ee,train,F-S
055edf40c6ec0be32ab56eb5ba6b44db868cc1e2d5cb0498b6d51a4e593249ee,train,F-E
0568337cb2a1750f8040b8ff6b53e900c025d9929a05ec944873469d11912ace,train,G-S
0568337cb2a1750f8040b8ff6b53e900c025d9929a05ec944873469d11912ace,train,G-E
05759b1feeba36a53d38a5fcdedd155bd8c575bc746bff5071b36465e6f9f559,train,F-S
05759b1feeba36a53d38a5fcdedd155bd8c575bc746bff5071b36465e6f9f559,train,F-E
0596ede901a0cb8c7beb802463f28fdfa716f605afb734c97adc075a239815d0,train,F-S
0596ede901a0cb8c7beb802463f28fdfa716f605afb734c97adc075a239815d0,train,F-E
059a88edcb8645132b17b404d8d6cf0965c4fdb9414c1c146809d3e908eb47d3,train,G-S
059a88edcb8645132b17b404d8d6cf0965c4fdb9414c1c146809d3e908eb47d3,train,G-E
05d9431414bf90df7840fa8a537944a03ffef04fa55cb265c614538744437857,train,F-S
05d9431414bf90df7840fa8a537944a03ffef04fa55cb265c614538744437857,train,F-E
05dec203a2306736e128011f88e57f3270d6d74e9c421a6d5722952facb16207,train,F-S
05dec203a2306736e128011f88e57f3270d6d74e9c421a6d5722952facb16207,train,F-E
05ec0af3018644b71477622ab85d88e04047102267c1c11e2f1c4fb6c63e476b,train,F-S
05ec0af3018644b71477622ab85d88e04047102267c1c11e2f1c4fb6c63e476b,train,F-E
05f0bedbe95f854e591eba73fe94688b93f3244f4adbe058f9add8f0410be7c7,train,G-S
05f0bedbe95f854e591eba73fe94688b93f3244f4adbe058f9add8f0410be7c7,train,G-E
05f138b34c1888f9850a4dbcf7ac3fa4fd26aaae275714e1cd28511371ce1f58,test,G-S
05f138b34c1888f9850a4dbcf7ac3fa4fd26aaae275714e1cd28511371ce1f58,test,F-S
05f138b34c1888f9850a4dbcf7ac3fa4fd26aaae275714e1cd28511371ce1f58,test,G-E
05f138b34c1888f9850a4dbcf7ac3fa4fd26aaae275714e1cd28511371ce1f58,test,F-E
0611c203717a422c7ba5daf4163bbb0d8d0fd4ce0f7a9a585e494f989c22a755,test,G-S
0611c203717a422c7ba5daf4163bbb0d8d0fd4ce0f7a9a585e494f989c22a755,test,F-S
0611c203717a422c7ba5daf4163bbb0d8d0fd4ce0f7a9a585e494f989c22a755,test,G-E
0611c203717a422c7ba5daf4163bbb0d8d0fd4ce0f7a9a585e494f989c22a755,test,F-E
0622f5d8fc14c9ce45217e1b2de990a32cbdda24eb536d556d5897cd35c972e4,train,G-S
0622f5d8fc14c9ce45217e1b2de990a32cbdda24eb536d556d5897cd35c972e4,train,G-E
0633af4c027012157c30fd081b9498965b27ce7f761521912e4d53492b6774a0,train,F-S
0633af4c027012157c30fd081b9498965b27ce7f761521912e4d53492b6774a0,train,F-E
0635b8bb0e7265d7ad2a740bff2fd458ae78cc301402cdd458be164defa1e6f8,train,F-S
0635b8bb0e7265d7ad2a740bff2fd458ae78cc301402cdd458be164defa1e6f8,train,F-E
066b364c0a54687345a1b90ef33f7d5b9c7a6970b49ddb579fea22021c3e42f5,train,F-S
066b364c0a54687345a1b90ef33f7d5b9c7a6970b49ddb579fea22021c3e42f5,train,F-E
066b3b2e91d74e08585bbe743a250738e18d753adad39cb54572574ed83d77f0,train,F-S
066b3b2e91d74e08585bbe743a250738e18d753adad39cb54572574ed83d77f0,train,F-E
067d6274eb0bcc7d8b5131fee305c464279d42cae5d347380b1d2726bbb25c91,train,F-S
067d6274eb0bcc7d8b5131fee305c464279d42cae5d347380b1d2726bbb25c91,train,F-E
06809bebb813cfd53102fe80f78f88d4fea8bb6dee55b5219b6a5737d7259589,train,G-S
06809bebb813cfd53102fe80f78f88d4fea8bb6dee55b5219b6a5737d7259589,train,G-E
068ef45acee7e2b7fefb3914ed09f7af259211d5c481ef84878eb9fe9225f686,dev,G-S
068ef45acee7e2b7fefb3914ed09f7af259211d5c481ef84878eb9fe9225f686,dev,F-S
068ef45acee7e2b7fefb3914ed09f7af259211d5c481ef84878eb9fe9225f686,dev,G-E
068ef45acee7e2b7fefb3914ed09f7af259211d5c481ef84878eb9fe9225f686,dev,F-E
06a5667f2edf4386c1a82bd5206f76d91ed111c9c2f8e4b092ca254f8850dca6,train,G-S
06a5667f2edf4386c1a82bd5206f76d91ed111c9c2f8e4b092ca254f8850dca6,train,G-E
06d4a3f409ae3cb8cc97a2d07db33e88d619131a7c09bd70f8bb33b7a1e9945f,train,G-S
06d4a3f409ae3cb8cc97a2d07db33e88d619131a7c09bd70f8bb33b7a1e9945f,train,G-E
06d77de11d8e0b0b9f30c6d1416aac73899900765e6007b52a9aa16e2fe1eba2,train,F-S
06d77de11d8e0b0b9f30c6d1416aac73899900765e6007b52a9aa16e2fe1eba2,train,F-E
06da3026595d9278139745d48882f6a1c542f2cee569ccf924bdb9bfb25274c1,dev,G-S
06da3026595d9278139745d48882f6a1c542f2cee569ccf924bdb9bfb25274c1,dev,F-S
06da3026595d9278139745d48882f6a1c542f2cee569ccf924bdb9bfb25274c1,dev,G-E
06da3026595d9278139745d48882f6a1c542f2cee569ccf924bdb9bfb25274c1,dev,F-E
06f411c8c654c1d7df2e41159d305adeaa98a8596333a6d14a94d473094e4d1a,train,G-S
06f411c8c654c1d7df2e41159d305adeaa98a8596333a6d14a94d473094e4d1a,train,G-E
07114354aebbdf464ee6988c12d4b00f03d4c9e0f2b2a4913178483a2ff2a742,train,F-S
07114354aebbdf464ee6988c12d4b00f03d4c9e0f2b2a4913178483a2ff2a742,train,F-E
071759cf7d070374c0fab67d5cc355e7ccce6598d593c3113a1e6a4d9f9bfe5d,train,F-S
071759cf7d070374c0fab67d5cc355e7ccce6598d593c3113a1e6a4d9f9bfe5d,train,F-E
073f0e8bb73bb47a70e005ae3c0f66a3945c5fa6028eb28d9c06a35ba614f919,train,F-S
073f0e8bb73bb47a70e005ae3c0f66a3945c5fa6028eb28d9c06a35ba614f919,train,F-E
075413553b9e97050a01004e30402bbde62e18d7f12c2315aeca9a2ff27b228a,train,F-S
075413553b9e97050a01004e30402bbde62e18d7f12c2315aeca9a2ff27b228a,train,F-E
075de6a8cd1f98c4662986d99e60be1617261c61ba2472e79b9284fbd2b0a87d,train,F-S
075de6a8cd1f98c4662986d99e60be1617261c61ba2472e79b9284fbd2b0a87d,train,F-E
076be81092441b153b81b5ce02fafb703d318ccf7b923137fd78cef2dd878f96,train,F-S
076be81092441b153b81b5ce02fafb703d318ccf7b923137fd78cef2dd878f96,train,F-E
076dfe646c867ded20d147eedbfa64164a00160bddaa112763da4e121d8dd701,train,F-S
076dfe646c867ded20d147eedbfa64164a00160bddaa112763da4e121d8dd701,train,F-E
0779d0c339615eb11e572669a76e9d3b267163ccd94d30281f43408ec9171fee,train,F-S
0779d0c339615eb11e572669a76e9d3b267163ccd94d30281f43408ec9171fee,train,F-E
07a11b43930cc4cb22a69f5fc07ee40363201013df37edfb89591942f40826bc,train,F-S
07a11b43930cc4cb22a69f5fc07ee40363201013df37edfb89591942f40826bc,train,F-E
07a5ca21cbd87b7d3229d2e9fe6547315e9082bfd402a50f67666a3e6ab7fd2f,test,G-S
07a5ca21cbd87b7d3229d2e9fe6547315e9082bfd402a50f67666a3e6ab7fd2f,test,F-S
07a5ca21cbd87b7d3229d2e9fe6547315e9082bfd402a50f67666a3e6ab7fd2f,test,G-E
07a5ca21cbd87b7d3229d2e9fe6547315e9082bfd402a50f67666a3e6ab7fd2f,test,F-E
07dab1f2399c7ba480ceae077bb25a163799cfc9ce7f18ebe09914bd7adb53aa,train,G-S
07dab1f2399c7ba480ceae077bb25a163799cfc9ce7f18ebe09914bd7adb53aa,train,G-E
07dc8108f615d8eaeeb4794b4db45831978e5a583f236d5aff7e88a64090195d,train,F-S
07dc8108f615d8eaeeb4794b4db45831978e5a583f236d5aff7e88a64090195d,train,F-E
07e23492a8096fd8bd4644dd859da5204a17ffcda32303d803ced71a2466b5a6,train,G-S
07e23492a8096fd8bd4644dd859da5204a17ffcda32303d803ced71a2466b5a6,train,G-E
07e68e866e18eaa2745f4c2b7901d830c5196c27df025eb7744bf931aa60a9d0,train,G-S
07e68e866e18eaa2745f4c2b7901d830c5196c27df025eb7744bf931aa60a9d0,train,G-E
07eb8c493f900b4301df48504c037720ab1e2dee5cfc930e36f147477bd139ff,train,F-S
07eb8c493f900b4301df48504c037720ab1e2dee5cfc930e36f147477bd139ff,train,F-E
07f9c51e60f61a73a7bcef39f8f27e90ece0cd6f8cb58d988560f31255351259,train,F-S
07f9c51e60f61a73a7bcef39f8f27e90ece0cd6f8cb58d988560f31255351259,train,F-E
08276966b438e55c4a3f1b40d1f317e6dd37be32e3ee98b26b61f1b8abd64a4b,train,G-S
08276966b438e55c4a3f1b40d1f317e6dd37be32e3ee98b26b61f1b8abd64a4b,train,G-E
08347743496f8b5b4e33237f742a3b17ed398f577efe84fe228cfd412cb17618,dev,G-S
08347743496f8b5b4e33237f742a3b17ed398f577efe84fe228cfd412cb17618,dev,F-S
08347743496f8b5b4e33237f742a3b17ed398f577efe84fe228cfd412cb17618,dev,G-E
08347743496f8b5b4e33237f742a3b17ed398f577efe84fe228cfd412cb17618,dev,F-E
0846b9a63860cb3926d001d311d9552c50070f42d30d27e46ca73831c8f32aad,test,G-S
0846b9a63860cb3926d001d311d9552c50070f42d30d27e46ca73831c8f32aad,test,F-S
0846b9a63860cb3926d001d311d9552c50070f42d30d27e46ca73831c8f32aad,test,G-E
0846b9a63860cb3926d001d311d9552c50070f42d30d27e46ca73831c8f32aad,test,F-E
0855def6dc964c2a3a895dacc8b16a3815378d396585f506f9ada11467eb7b38,train,G-S
0855def6dc964c2a3a895dacc8b16a3815378d396585f506f9ada11467eb7b38,train,G-E
08638f9ddc19829a20a276657575099b278884db23cca65262ea1def9f73cc6c,train,F-S
08638f9ddc19829a20a276657575099b278884db23cca65262ea1def9f73cc6c,train,F-E
086661ef02466c64725434592ff93a458aaa9494beb0118c43598efa8fbef816,train,G-S
086661ef02466c64725434592ff93a458aaa9494beb0118c43598efa8fbef816,train,G-E
0867792e4d164e9af29ceb7755b5ba411fa26db69eff0514e131f187053f0e93,train,F-S
0867792e4d164e9af29ceb7755b5ba411fa26db69eff0514e131f187053f0e93,train,F-E
08817a4f469f7848832a9d8a7e3c2cdd19c87af8c6c72dafea1f74dc15a71e01,train,G-S
08817a4f469f7848832a9d8a7e3c2cdd19c87af8c6c72dafea1f74dc15a71e01,train,G-E
08930a7e5943a84fa8432fb6a494d1331e5721243a846a6912955413ae20c2a4,test,G-S
08930a7e5943a84fa8432fb6a494d1331e5721243a846a6912955413ae20c2a4,test,F-S
08930a7e5943a84fa8432fb6a494d1331e5721243a846a6912955413ae20c2a4,test,G-E
08930a7e5943a84fa8432fb6a494d1331e5721243a846a6912955413ae20c2a4,test,F-E
08a09f14423d7d29ce65df8d990d3dcca062b3ca51660ca06d30d123b8f7c4f3,test,G-S
08a09f14423d7d29ce65df8d990d3dcca062b3ca51660ca06d30d123b8f7c4f3,test,F-S
08a09f14423d7d29ce65df8d990d3dcca062b3ca51660ca06d30d123b8f7c4f3,test,G-E
08a09f14423d7d29ce65df8d990d3dcca062b3ca51660ca06d30d123b8f7c4f3,test,F-E
08afa0f7f1d12adde71ac885aaf484ea865306439abf96e56b03aa6255ed6006,train,G-S
08afa0f7f1d12adde71ac885aaf484ea865306439abf96e56b03aa6255ed6006,train,G-E
08d0a440e2c027fc1ff496faa0971984a3708897e4176a1df4375a03c3a8606c,train,G-S
08d0a440e2c027fc1ff496faa0971984a3708897e4176a1df4375a03c3a8606c,train,G-E
08d7feff33eb7f61cedf2b5638175059942db3906905a37368a924a83524c825,train,F-S
08d7feff33eb7f61cedf2b5638175059942db3906905a37368a924a83524c825,train,F-E
08e0328eae953917904ab61e8f2b4abdcbbd142d5d52b0875def61d3f18f586d,train,G-S
08e0328eae953917904ab61e8f2b4abdcbbd142d5d52b0875def61d3f18f586d,train,G-E
08ed7d2b0b10a38d9d82fd9b533bdcf66ba17cd71ba392aa15ee23a4e553fef3,train,G-S
08ed7d2b0b10a38d9d82fd9b533bdcf66ba17cd71ba392aa15ee23a4e553fef3,train,G-E
08fdadb7f307af0351fda26d485c378493396b3726e98e2792832745a65ea98d,train,G-S
08fdadb7f307af0351fda26d485c378493396b3726e98e2792832745a65ea98d,train,G-E
090e794453de716514ed8cb4434649e9ab7d7a784e468a7d5dfe6f672934292e,train,G-S
090e794453de716514ed8cb4434649e9ab7d7a784e468a7d5dfe6f672934292e,train,G-E
091233b61b699f08c7fd444d39debb51bad3d6138cb9a9bd3441a2e6b4c5de8d,train,G-S
091233b61b699f08c7fd444d39debb51bad3d6138cb9a9bd3441a2e6b4c5de8d,train,G-E
091266fe7fb829a6dc40983dfc7ecad93abf567bce569bbce3cbeb4f42962df5,train,G-S
091266fe7fb829a6dc40983dfc7ecad93abf567bce569bbce3cbeb4f42962df5,train,G-E
