candidate_index,gene_id,split,super_pool,source_primary,generation_source,original_role,stratum
52,07aec4be397e1ff5b34bc999ac53fc52d2fd3aa9ee7fb6050cb34ed1f5dab775,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
53,169eb3f9fcdb7ec1623f4a683540debc06915a262e34a8db61c024c06e463662,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
54,02fde2404226b8b772d3874aefdbe34a0e1b4d5d697c779d1272b82a1f3d6455,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
55,59c704bf911e5e99272596597d2369cd0ac5bb9220e87be41ec35c0eeff3d509,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
56,14bea618865cc91d36c5c0abc332770b271aefe2c825baef14a08918a3dd6c6e,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
57,afd5ebcd3c12e42d823667fd803bcf4a98eae223fce7278bae33be1503ae9384,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
58,41e9bb004b09d690700c81dcaf490c453b557ea430dd6ddf044be234fd621cf0,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
59,1c9fb6da2117990ae3ecdfc040e8c4597827484ca440d1917afd4dad8fc697e8,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
60,04322766233651802f4be3f1cf7e93c5b4ef813da01fbf2c3d9e9f1a4e103d6b,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
61,99efff098736c8e0cf3ba99f2b0c79c9e11ec6624f4b9e3dfe62ccffdcc38edb,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
62,45b3c84be60f5a209f8ef4cb4ceddbf29695a9d1e0a85e31577eae826aef133f,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
63,fa2bda09f5788e9fd9efb5b19c0accdf21cc647fc5de5c3b2768a5e99ac5d04a,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
64,8501b6a6a2a9788d44600a11fb02593487f5af537c5879587c198cb695b05a72,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
65,8dcce9854bbbf054af4767c6bfe9dc998e07931c6ed6b3dd4658a0fa91d6e9b3,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
66,6d3f5ed06ddeed04440159a3aa1d897318355bfa99e2509082f69271e9858929,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
67,71430fde37ad8c890cc9a48ae8150d4c76e6154a57098776cdb604de93d36118,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
68,3da4ba8568d0616920d14c858294a509bd61d40ed4e13123c022c2ae47e78c57,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
69,4cec4ff505213c4ff0fdc6d0f21c8c2926f195c258c5ea2cd0a85d57bd2b0272,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
70,dba56bea9ef1632ecd9582093296375f2033fab6fed0b2a2bbe93dd324678ad8,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
71,ed8ab844aed1c21202dc46e94ce64a68e68dce5a004e9665e47777e95b252e06,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
72,1bf4c247c65d81a246c14f5251fcf5f6ee2ae4ccba15e5e44302219f88f6a451,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
73,8cd6c394cc62228b27651aff5dce7042a0dab8bc27df03c2f134368567783e6a,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
74,5e2407143765302ebcd190273e45fcb7d34b01c56055ef5556c6ca2eb5133b1c,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
75,cadbfdfed1ab390f9e58ea1b79011fe1b5ead0b0289686d06304f78bcebfc927,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
76,26e38dd28c3baa5c3ff93d47f4c5e3726ba9151a18b06366d183dce8325ae17e,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
77,46ea80141d18f79a1ea8e9553cad496a57ad1e7b8324dee46a72ee7a9f7d3ccd,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
78,55fa9e9a88ef496f3774bc4a30f96a78e17cc70d1cfea071939bb835e98c1672,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
79,1c501008fc60d533cdaee657f940382ad0020e4dee09729b60dfea9c66f6a947,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
80,cfa2176b67a829e703587bd76314cdf0d034d75f26cdbc8670cffd118543df39,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
81,0b9a31365f63745a58e89dcc58f9850b0619bdaf4ed536c2f8ed12c49b878a47,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
82,635895a3db76a7a668de303c6d8c66374e9039aedf7a74d149ffe00fa02d949d,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
83,7e2228e1d6431f1872a302610d93d98b31f3215008f2d5469adc7569a59e63ce,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
84,9eae60c825d0a2f11788ab58ccaeecbdbbf2d9965e089b92b481ad2477e67bd5,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
85,61e00495abea417cceb5baa129012b00f2c51d2f5b7fc69634e9120facbf8173,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
86,e87f689e43a1d82c6182955637879d11ba7d0cc852612f6d595dc8dceaebee0b,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
87,754a434ede4a167cb36c6e4f3d7f9cadfc50fdff85868fb4e4f8695a0ab5b2ff,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
88,489648d2b19051398c886e02e3da905b4a44fad3f5b2091c28f99348c54502de,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
89,e165b9f0b3b7ded3c7b886ddc4a629ca2ab4c5508ae12e12fc6f3680b8d63a47,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
90,c2991fa16ba6b942a6df351e124edcd9e49daec7a60449ace12ee1127b7993a1,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
91,33d905665c9e4528a2bf29e38ae48888c2096866823a17759ce72fa22377585a,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
92,037190584372be1886629d3d979f1696337d9af1b50e1cc32e6ffa1758ac1d3d,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
93,677608b519e3b58f2042a3d888c5eb2ea0572a1bb0508ac0fed67cf4d7712f0a,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
94,4614e1a703b4aa99253af1c64149867608db1a3371c03bd23938676e84ac1c1a,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
95,9a57b11f2f570a874f8b409baadff7f6ced6acb99bfbdc743661345bc342afce,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
96,19cb7be6538ad74d62340f003a1cbabbb43ed00e405d9b5c4c728d98ddffa649,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
97,90581c48359cc9455f83f4d7db0e1154c3636f6f12c86c4855a7932d4397260c,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
98,fcf5322cd4877503b065a0f95b03c0cd2195a3f19d6ded15f4eeda58476e0de7,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
99,05ebb2311089871221e0840f35692b93fa872893597858a8336bc2cc397f3353,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
100,587a223eaa5761f6e38e4c056e4d31a16a675322d3f555b6a45a685742f23fe8,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
101,16e058099e1651db299672ab224c852514c5fafae91f6a661f9e45511fcf70e4,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
102,0fbd56ac8d3992e64ca4285c06a5be9bc4fc05d3f9f85718e98d9523732043b3,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
103,f40e527b25f75f1fc8f958399e1dfb51d033dc1f8d4612fe5ad7489cb95ac8aa,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
104,0d455e593a3b77a64829a581179a8746796e22d9ad6f236b93fa590c2dbdf5d0,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
105,dd7b3dd81848a76762f73ddfd2b5979a3f6441e863c0e0221076edc6ecd8ea43,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
106,625ecc2d10e35566b0e4978807298fffa9b8eb9c8c8603cf725617d2ab8885c5,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
107,35f37156c85149cee9ac8ed387a49c5e0b7a600eb794cd5d56979d73d582e24c,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
108,c001d2639e1bba4754ba5c7cf9482985e50a861c43c91cbc54ce1256fda6ab5a,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
109,6a931e5998ee95333f923f36f5a020070149e1dbab3b4ce1110ce77ddd3e0046,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
110,9cd9daeb4e9810b5eba5d45632e09fd3a4e8c0791ea33f6d359648cfc9432b2e,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
111,5311805b5abf5aa7962ba9690711c3bb39cfd0b7b411c576c5777dbcc81800e2,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
112,0d785c7486acffea2c374376969c29a6932fc39f2d00d059cca8793ff28d6f3e,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
113,16c3a99b9973c53c45c19a00a2591b0e446965585680e948ebb6ae9506370f6d,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
114,f5dcbc41a8a2f06deb51d058aaf37f2cbebc651285a54cf525f30e81fda9e666,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
115,f7c886ad1814e051f522b178e76edc34aa79e813802c742c831952942d000074,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
116,9ac50a38736f3bf09b8de8bb6e30b5263f40a722d1212c139030fc6539c77fc5,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
117,838a16e338b91c06208780ecdd8955ac353d6aa2eb4eb8c67f5157453d9af0ec,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
118,f66980c00d6263b0d16a3617c0a3edb8b5beee63b030ad0d2917a39641dcd2f7,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
119,0a2dc1594429a1d16b9a64a65364890e2036068dbb4cc1f4d881bb56fe864355,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
120,7f2b399306a5bf36c0fcfa6c7ef7520061136b71b11923964304ed039f5f5d2c,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
121,220b1433a2f81ef36485e2a7883c9b47c57e0c7ca979ea9d69d47ba6511ba887,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
122,56fcc9e57bb6a6a9e84bfeecacaad5690d44702c2503374b2754f01265747a4a,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
123,64526666f72eaaa1a1992cfa50b74215538789242b3be36b6ee2852e73b39268,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
124,2590e6cd489269d53b2140ae8160afc06c887946cc111ae3b66faf19b209b157,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
125,9e0bfffd3450da9266de8dda5bb1092f01ebda069549374c8213f72eed598b04,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
126,86e6413a47b32e0f018378093ad8b2ccaccdcfebf3db47d26e36b582886d61de,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
127,addfc397c702d8a5d7829bb45711a880d251218d2baa963f62a811f183ef9d97,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
128,32148bda59f9628506d7bd36a8723dbe2d71dba9f4c5bfd2dfd4e2592b52e691,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
129,7221bb311271cf5c773289ffd94001b386b7ea2ceece7c15a7f59538efe04b80,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
130,b8a4bc904883e461aa257b381ff31f1a8c7ecd7ace7fef21c9fbac4a80574c88,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
131,7048dd140e75f7318e870d02e1b586a97ac00973f1a351492540ee29b51ef23e,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
132,7eb0dbffcd0a4bcbc21ba7a922b97263e2b876cb4778f98d8f4c7f11250cd97b,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
133,79ac0904803c0082ac2c810607c238867974b76022ad49a895c2d176bcb0c8ef,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
134,a43f764026b2f0748316829a2d5f6d58d575b4aa2412a170abb1c9befd333a7d,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
135,45f27a156fab1cbb44fdbc7b0fc5d5b15f74fe8b75d0fae61bd70a4c7254f3b4,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
136,75455d5c077f5bf4aa987ea3387d18ea4679876a9a39ae0501051aaa8a94aa48,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
137,e4d486c8c4d7cd71ee298e30696f2c94014ea118ec405b2040dea9989ac161b2,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
138,f831b4f2f44d52814b19750b41e0ba724d751e63a71a6a30ae1fd8ecd7353393,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
139,cf43015c72973bd73e208566e16069ed4c05e7566a69110783f057e129e8cf36,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
140,28579d477b75d75470bfa37919dc787a7f7b45e25b7723ef45fb300ee305e682,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
141,af2718b3dda1da3c64e5cc19c3415f6fab15294a8c48366b16d927211a1a06d9,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
142,637f188d5869bad30a7cb86cf93aacf263d8853f43b95ab75a6a316eb74a37d4,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
143,495481896f4fbbd740d474686edafa9b5384d665da5a89d7b1db91919f16976c,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
144,73343961f0fe09f732f95655859c8501c647c610b795e694208e84227b652a7e,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
145,5fb607724d47162625bb5f96f828bd58c39e26509ce55a823e45dfa292e84607,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
146,45a599b25d5c5d57cd29463933a0b3f73175a68375755014f0d1b30c75a7a9e3,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
147,91dcc9188194d1d11d52aeac4209ebfe3e244fe954ca7a71da716944c14550a8,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
148,7d92165a5496d2e3bedd05de18a906da08a3c5a82f14cebdcdafc7c47f5cb361,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
149,ad22d7b3e34c7a37cd741f0a9fe28f917bfcc2af8d52bb715b9e53843ce7504f,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
150,09242954ae436d5e14d301bf924292b07511f90625f881e5e2cae82250bbf522,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
151,222adf5aa87c693620f0caca721b39bdb06783a31e648ac3fc719932e9de62af,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
152,88a5743de9f8b90ce5beab5089fa8b6f008f9e7eb05fdfe959076afb68993b80,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
153,2c9412c9c66be755f68642eb01ce9929f2da900561a1c994ba508cc2f853a6e9,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
154,3c6158ffe2edb7a9cb2ea318584cb75c1680020dee456ed813b5addc6d0f786d,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
155,88cc5497e8f4a01993cc8fa3f1872e96f129f4e224a3a805a32648b1be486428,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
156,241cec30d64a04700122d5a2672a45c389a6f4c22392bbe198ee8c270bd39412,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
157,534faec371e608f20b599ef35a253e4e1ce8246e365de16a15ddeb1f2489451a,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
158,c3e1595475706edd05b284d6a5f2fd2d6bf8ff3f59d21622efe63001134618ce,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
159,fa4eeac9e5e0e41c1660a3cb5244d2984510b5989db5f9deacb7e1a4810a1d04,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
160,b596e9ef343e4048657d4bc03550f055cff21ed4970473e2c05ec19de1a770a8,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
161,aba12d8b48c5960b64cbe389a9b9c44a83d588e1d41ddce601981c4429840b23,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
162,a4e8f4d4732dbfbc46a52d52a98cbaf6880a3d5ed9737a8d3570e1733ef28674,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
163,20dd8b0e93771461bb0d7a4ccb5220f087a8735878529499e53e1fe429b2ee7d,validation,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
164,d53cb41149563527dc282660e4f56f7cc74715a7f150a25225aeba1ab3db4829,test,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
165,af7920da71b8bfeb9adc04df2516527c4011c63fd3d1224eacc9ac3da6aabd8c,train,historical20000,historical40000_lcmd,old_train,old_train,historical40000_lcmd|old_train
