sample_id,topology_id,split,fem_path,mat_path,match_status,match_score,t_min,target_j,penalty_coef,base_fem_file,encoding,node_count,face_count,assigned_face_count,ambiguous_face_count,bbox,channel_names,duplicate_run_count,duplicate_sample_ids
SAMPLE_0020,FEMRASTER_9d7c5f27a52e,validation,IA_test/0104 groupA/best_J0.0994011_20260105_081953.fem,IA_test/0104 groupA/best_result_20260105_081953.mat,probable,77.0,0.8,0.09940107958560766,10.0,blank_18x10.fem,utf-8-sig,1784,307,307,2,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0020|SAMPLE_0191
SAMPLE_0150,FEMRASTER_a8f6885eac3f,train,IA_test/1230.2/best_J0.157009_20251230_165105.fem,IA_test/1230.2/best_result_20251230_165105.mat,probable,77.0,0.75,0.15700909785840056,10.0,blank_9x5.fem,utf-8-sig,443,289,288,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0150|SAMPLE_0198
SAMPLE_0171,FEMRASTER_ac9b6ddb83cb,train,IA_test/无优化组/best_J2.16323_20260103_182158.fem,IA_test/无优化组/best_result_20260103_182158.mat,probable,77.0,0.8,2.1632259187497307,10.0,blank_18x10.fem,utf-8-sig,1004,157,156,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",1,SAMPLE_0171
SAMPLE_0021,FEMRASTER_ad557e6904c2,train,IA_test/0104 groupB/best_J0.106306_20260104_150857.fem,IA_test/0104 groupB/best_result_20260104_150857.mat,probable,77.0,0.8,0.10630619197286789,10.0,blank_18x10.fem,utf-8-sig,1790,316,316,2,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",5,SAMPLE_0021|SAMPLE_0158|SAMPLE_0159|SAMPLE_0160|SAMPLE_0165
SAMPLE_0145,FEMRASTER_ae80bbb5265b,train,IA_test/1226/best_J0.234241_20251226_165530.fem,IA_test/1226/best_result_20251226_165530.mat,probable,77.0,0.6,0.23424090161836617,10.0,blank_inset_9x5.fem,utf-8-sig,1499,553,552,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0145|SAMPLE_0193
SAMPLE_0154,FEMRASTER_bda73a1f06b1,train,IA_test/best_J0.080216_20260110_195804.fem,IA_test/best_result_20260110_195804.mat,probable,77.0,0.8,0.08021601571920854,10.0,blank_18x10.fem,utf-8-sig,1838,314,314,2,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0154|SAMPLE_0155
SAMPLE_0190,FEMRASTER_ca1469e4fad3,validation,IA_test_groupA/0103 groupA/best_J0.112828_20260103_174233.fem,IA_test_groupA/0103 groupA/best_result_20260103_174233.mat,probable,73.0,0.8,0.11282833125782142,10.0,blank_18x10.fem,utf-8-sig,1718,298,298,2,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0190|SAMPLE_0203
SAMPLE_0149,FEMRASTER_d1f999c44ce6,validation,IA_test/1229/best_J0.238035_20251229_221434.fem,IA_test/1229/best_result_20251229_221434.mat,probable,77.0,0.75,0.23803529774927382,10.0,blank_9x5.fem,utf-8-sig,659,343,342,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0149|SAMPLE_0197
SAMPLE_0187,FEMRASTER_e73a715b9c33,validation,IA_test_group4/best_J0.11069_20260203_184421.fem,IA_test_group4/best_result_20260203_184421.mat,probable,77.0,0.8,0.1106898325331266,10.0,blank_18x10.fem,utf-8-sig,1826,314,314,2,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",1,SAMPLE_0187
SAMPLE_0153,FEMRASTER_f13988b7871c,validation,IA_test/1231/best_J0.145728_20251231_192359.fem,IA_test/1231/best_result_20251231_192359.mat,probable,77.0,0.75,0.14572779136363614,10.0,blank_9x5.fem,utf-8-sig,443,289,288,0,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",2,SAMPLE_0153|SAMPLE_0201
SAMPLE_0022,FEMRASTER_feed1977c125,validation,IA_test/0107 groupA2/best_J0.082148_20260107_145512.fem,IA_test/0107 groupA2/best_result_20260107_145512.mat,probable,77.0,0.8,0.08214802531200001,10.0,blank_18x10.fem,utf-8-sig,1790,307,307,2,"[0.0, 0.0, 74.0, 74.0]","['Background', 'Air', 'Iron', 'Copper', 'Magnet']",3,SAMPLE_0022|SAMPLE_0156|SAMPLE_0157
