sample_id,geometry_id,split,fem_path,mat_path,match_status,match_score,air_fraction,iron_fraction,copper_fraction,radial_transition_rate,angular_transition_rate,t_min,target_j,nr,nt,bit_count,penalty_coef,base_fem_file,material_codes,topology_id,feature_group_id
SAMPLE_0166,GEOM_0004,train,IA_test/无优化组/best_J0.110898_20260103_223049.fem,IA_test/无优化组/best_result_20260103_223049.mat,probable,77.0,0.15,0.5833333333333334,0.26666666666666666,0.27058823529411763,0.5123456790123457,0.8,0.11089760421375137,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_b7b2e1f15db4,FEAT_5c9c8442d191
SAMPLE_0167,GEOM_0004,train,IA_test/无优化组/best_J0.110898_20260104_040203.fem,IA_test/无优化组/best_result_20260104_040203.mat,probable,77.0,0.15,0.5833333333333334,0.26666666666666666,0.27058823529411763,0.5123456790123457,0.8,0.11089760421375137,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_b7b2e1f15db4,FEAT_5c9c8442d191
SAMPLE_0171,GEOM_0125,train,IA_test/无优化组/best_J2.16323_20260103_182158.fem,IA_test/无优化组/best_result_20260103_182158.mat,probable,77.0,0.3888888888888889,0.55,0.06111111111111111,0.3352941176470588,0.48148148148148145,0.8,2.1632259187497307,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_8155124881c4,FEAT_c14c898a8d25
SAMPLE_0187,GEOM_0137,validation,IA_test_group4/best_J0.11069_20260203_184421.fem,IA_test_group4/best_result_20260203_184421.mat,probable,77.0,0.16111111111111112,0.5611111111111111,0.2777777777777778,0.3176470588235294,0.5370370370370371,0.8,0.1106898325331266,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_b3b76dce5255,FEAT_a30fc33e3cc9
SAMPLE_0190,GEOM_0139,validation,IA_test_groupA/0103 groupA/best_J0.112828_20260103_174233.fem,IA_test_groupA/0103 groupA/best_result_20260103_174233.mat,probable,73.0,0.16111111111111112,0.5722222222222222,0.26666666666666666,0.27058823529411763,0.5123456790123457,0.8,0.11282833125782142,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_3995970c44f1,FEAT_fee13a4397e7
SAMPLE_0191,GEOM_0017,train,IA_test_groupA/0104 groupA/best_J0.0994011_20260105_081953.fem,IA_test_groupA/0104 groupA/best_result_20260105_081953.mat,probable,65.0,0.16666666666666666,0.5611111111111111,0.2722222222222222,0.29411764705882354,0.5185185185185185,0.8,0.09940107958560766,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_64edc9a694d7,FEAT_7d02fbfccc8b
SAMPLE_0192,GEOM_0114,validation,IA_test_groupA/1225/best_J0.177345_20251225_205238.fem,IA_test_groupA/1225/best_result_20251225_205238.mat,probable,77.0,0.13333333333333333,0.6,0.26666666666666666,0.525,0.6388888888888888,0.6,0.17734517056981053,9,5,45,10.0,blank_inset_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_038951ad00c8,FEAT_501f782e8c11
SAMPLE_0193,GEOM_0115,train,IA_test_groupA/1226/best_J0.234241_20251226_165530.fem,IA_test_groupA/1226/best_result_20251226_165530.mat,probable,77.0,0.044444444444444446,0.6444444444444445,0.3111111111111111,0.325,0.5555555555555556,0.6,0.23424090161836617,9,5,45,10.0,blank_inset_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_687c445efb2f,FEAT_f1141eaceded
SAMPLE_0194,GEOM_0116,train,IA_test_groupA/1227.1/best_J0.239788_20251227_151645.fem,IA_test_groupA/1227.1/best_result_20251227_151645.mat,probable,77.0,0.08888888888888889,0.6,0.3111111111111111,0.4,0.6388888888888888,0.6,0.239787507489866,9,5,45,10.0,blank_inset_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_ff0a1131979c,FEAT_8e7943c33bbc
SAMPLE_0195,GEOM_0117,train,IA_test_groupA/1227.2/best_J0.147733_20251228_001658.fem,IA_test_groupA/1227.2/best_result_20251228_001658.mat,probable,77.0,0.08888888888888889,0.6,0.3111111111111111,0.475,0.4722222222222222,0.6,0.14773264576270026,9,5,45,10.0,blank_inset_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_c53ac32ecb02,FEAT_48a2e50cd589
SAMPLE_0196,GEOM_0118,train,IA_test_groupA/1228/best_J0.222504_20251229_005752.fem,IA_test_groupA/best_result_20251229_005752.mat,probable,70.0,0.1111111111111111,0.6444444444444445,0.24444444444444444,0.375,0.5555555555555556,0.75,0.22250448599492711,9,5,45,10.0,blank_inset_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_bbe0d5b1a056,FEAT_7c70ccbcefa9
SAMPLE_0197,GEOM_0119,train,IA_test_groupA/1229/best_J0.238035_20251229_221434.fem,IA_test_groupA/1229/best_result_20251229_221434.mat,probable,77.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.475,0.6111111111111112,0.75,0.23803529774927382,9,5,45,10.0,blank_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_72199402ba5f,FEAT_fbe810621171
SAMPLE_0198,GEOM_0006,train,IA_test_groupA/1230.2/best_J0.157009_20251230_165105.fem,IA_test_groupA/1230.2/best_result_20251230_165105.mat,probable,77.0,0.37777777777777777,0.6,0.022222222222222223,0.575,0.6111111111111112,0.75,0.15700909785840056,9,5,45,10.0,blank_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_bedc2b851ed8,FEAT_494179d155df
SAMPLE_0199,GEOM_0005,train,IA_test_groupA/1230.3/best_J0.150072_20251230_212929.fem,IA_test_groupA/1230.3/best_result_20251230_212929.mat,probable,77.0,0.35555555555555557,0.6222222222222222,0.022222222222222223,0.5,0.5833333333333334,0.75,0.15007208259379337,9,5,45,10.0,blank_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_dd4bc241fd4f,FEAT_5ef29ec899e3
SAMPLE_0200,GEOM_0007,train,IA_test_groupA/1230/best_J0.166453_20251230_130901.fem,IA_test_groupA/1230/best_result_20251230_130901.mat,probable,77.0,0.24444444444444444,0.5333333333333333,0.2222222222222222,0.475,0.6666666666666666,0.75,0.1664533999260898,9,5,45,10.0,blank_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_489b6aca17f4,FEAT_4a3391cdb290
SAMPLE_0201,GEOM_0120,train,IA_test_groupA/1231/best_J0.145728_20251231_192359.fem,IA_test_groupA/1231/best_result_20251231_192359.mat,probable,77.0,0.37777777777777777,0.6,0.022222222222222223,0.475,0.6666666666666666,0.75,0.14572779136363614,9,5,45,10.0,blank_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_fa9ea8d3a09a,FEAT_4b0b54ee7322
SAMPLE_0202,GEOM_0140,train,IA_test_groupA/best_J0.0937403_20260107_221145.fem,IA_test_groupA/best_result_20260107_221145.mat,probable,77.0,0.16111111111111112,0.5611111111111111,0.2777777777777778,0.3058823529411765,0.5246913580246914,0.8,0.09374029236352585,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_eee22d6829e1,FEAT_c1932f337c4f
SAMPLE_0203,GEOM_0139,validation,IA_test_groupA/best_J0.112828_20260104_040221.fem,IA_test_groupA/best_result_20260104_040221.mat,probable,77.0,0.16111111111111112,0.5722222222222222,0.26666666666666666,0.27058823529411763,0.5123456790123457,0.8,0.11282833125782142,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_3995970c44f1,FEAT_fee13a4397e7
SAMPLE_0204,GEOM_0121,train,IA_test_groupA/best_J0.113614_20260103_045247.fem,IA_test_groupA/best_result_20260103_045247.mat,probable,73.0,0.1388888888888889,0.6,0.2611111111111111,0.23529411764705882,0.48148148148148145,0.8,0.11361423432165038,18,10,180,10.0,blank_18x10.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_16307ca1fcee,FEAT_8d514d29bf31
SAMPLE_0205,GEOM_0122,train,IA_test_groupA/best_J0.238035_20251229_211603.fem,IA_test_groupA/best_result_20251229_211603.mat,probable,77.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.475,0.6111111111111112,0.75,0.23803529774927382,9,5,45,10.0,blank_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_72199402ba5f,FEAT_fbe810621171
SAMPLE_0206,GEOM_0123,train,IA_test_groupA/best_J0.257147_20251228_164352.fem,IA_test_groupA/best_result_20251228_164352.mat,probable,77.0,0.06666666666666667,0.6,0.3333333333333333,0.375,0.6111111111111112,0.75,0.2571473675453812,9,5,45,10.0,blank_inset_9x5.fem,"{""air"": 0, ""copper"": 2, ""iron"": 1}",TOPO_6dc9d7310225,FEAT_705629e1edf2
