candidate_pk,candidate_id,run_id,generation,candidate_order,chromosome_json,chromosome_hash,physical_key_hash,source,parent_candidate_id,parent_rank,clone_index,mutation_operator,mutation_strength,mutation_indices_json,hamming_distance_to_parent,lineage_id,status,validity_status,rejection_reasons_json,duplicate_of_sample_id,torque_ratio,historical_j,fitness_band,created_at,validated_at,completed_at
11,C000011,clonalg_real_2gen_20260806_001,1,11,"[0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,0,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,1,2,0,1,1,1,1,1,2,2,0,0,1,1,1,0,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",4812ecb16c6df9553d6025f4d0b7c23d173c16f5c1800f349d89921ced4dcb01,0a60e4b93c9d530815631b7af84df7cf16d3ba6963f5891c3532fa7ce11cf62c,clone,C000001,1,1,trit_hypermutation,0.03,"[11,43,83,123,130,138,139,156]",8,L-SEED,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000150.0,,2026-08-07T00:08:46.191+02:00,2026-08-07T00:08:46.191+02:00,2026-08-07T00:08:46.197+02:00
12,C000012,clonalg_real_2gen_20260806_001,1,12,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,0,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",a6ccc5e9ab5a9e9ed894a8dee551b16bf54304898a4e9cba2d0da86795e40d70,797303c5408886dcfb67ca92e365e06a6d8c93b4863d17994caa6e6326d030b0,clone,C000001,1,2,trit_hypermutation,0.03,"[89,133,134,153]",4,L-SEED,rejected,rejected,"[""SMALL_COPPER_ISLAND""]",,,1000050.0,,2026-08-07T00:08:46.280+02:00,2026-08-07T00:08:46.280+02:00,2026-08-07T00:08:46.287+02:00
13,C000013,clonalg_real_2gen_20260806_001,1,13,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,1,0,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,0,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",a0666044ed0701daafa0d906d3d4c5c1c0820979cd4e1b9e2962c6767d7013fb,75e9466d91af98634228e390f4e6531f611a56e1cfb38680007550806eaee4f1,clone,C000001,1,3,trit_hypermutation,0.03,"[44,45,79,143,145,165]",6,L-SEED,rejected,rejected,"[""FLOATING_IRON""]",,,1000050.0,,2026-08-07T00:08:46.365+02:00,2026-08-07T00:08:46.365+02:00,2026-08-07T00:08:46.372+02:00
14,C000014,clonalg_real_2gen_20260806_001,1,14,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,0,0,1,1,1,1,1,0,1,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,2,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1]",6ba3f63897f98f10200f8446866ce532844720c96eebb38516bd0f46116bc38c,ba363921ded2181fa74c0ceb55ef54b793e51119f193cb513ece17aff535323e,clone,C000001,1,4,trit_hypermutation,0.03,"[23,43,51,108,153,177]",6,L-SEED,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000150.0,,2026-08-07T00:08:46.453+02:00,2026-08-07T00:08:46.453+02:00,2026-08-07T00:08:46.459+02:00
15,C000015,clonalg_real_2gen_20260806_001,1,15,"[0,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,1,2,0,0,1,1,1,1,2,2,0,2,2,0,0,1,0,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,2,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,1,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",9f0d1742cae6a42d5f2dc0de786822bd40fd4b209d9254bb17cf8a6a03452f66,a3ab9f344de18e1e25a2f90681e18bfc3b0dd4a0631d27a49917bd2b045e1a26,clone,C000003,2,1,trit_hypermutation,0.03346938775510204,"[11,20,62,96,113,130]",6,L-INIT-02,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000300.0,,2026-08-07T00:08:46.539+02:00,2026-08-07T00:08:46.539+02:00,2026-08-07T00:08:46.544+02:00
16,C000016,clonalg_real_2gen_20260806_001,1,16,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,1,2,0,0,1,1,1,1,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,1,2,2,0,0,1,1,1,1,1,0,0,1,1,2,1,1,1,1,1,1,1,0,2,1,1,1,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2]",ffc8057dece3c9f912a53bfae25d6d4e68bdbdf8407cd0b35921c7311cbe718f,e9c9342b18e50dd29dec177734160f00d56367543a9ad6e73650f25c2be0f051,clone,C000003,2,2,trit_hypermutation,0.03346938775510204,"[23,85,92,120,130,144,153,166,179]",9,L-INIT-02,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000450.0,,2026-08-07T00:08:46.625+02:00,2026-08-07T00:08:46.625+02:00,2026-08-07T00:08:46.631+02:00
17,C000017,clonalg_real_2gen_20260806_001,1,17,"[0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,2,1,0,0,0,0,0,1,2,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,1,2,1,2,0,0,1,1,1,1,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",d9bf379b2a666fb48693014931d1ec9f5efdb448bde1d44c40daec7085133d00,8696de6ce3aaebcd6545a3a530b5919124f5491c7df94731e2e6839548f5b032,clone,C000003,2,3,trit_hypermutation,0.03346938775510204,"[6,18,26,50,106,114,146,149]",8,L-INIT-02,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000250.0,,2026-08-07T00:08:46.709+02:00,2026-08-07T00:08:46.709+02:00,2026-08-07T00:08:46.714+02:00
18,C000018,clonalg_real_2gen_20260806_001,1,18,"[0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,2,1,0,2,1,2,0,0,1,1,1,2,2,2,2,2,2,0,0,1,0,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,2,2,2,2,0,0,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",5108950c33d9245f247fb259a2e6edb99007894b41875b7f157ee3301b40b182,d1ec7635615d87af2c29e8cff1153c70595237957869694d28453bbe5932c502,clone,C000003,2,4,trit_hypermutation,0.03346938775510204,"[19,48,59,91,101,116,134,162]",8,L-INIT-02,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000200.0,,2026-08-07T00:08:46.794+02:00,2026-08-07T00:08:46.794+02:00,2026-08-07T00:08:46.800+02:00
19,C000019,clonalg_real_2gen_20260806_001,1,19,"[0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,2,0,0,0,1,1,1,1,1,0,2,2,0,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,2,2,2,2,1,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1]",5d8139647018be8089447de3d3a433cafa703797d51a236cae1d1292d2b5cabb,ebad7b82a206b564d42a8e03be63d9411dbf362c5011235564ac72435733ee28,clone,C000002,3,1,trit_hypermutation,0.04387755102040816,"[21,33,133]",3,L-INIT-01,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000200.0,,2026-08-07T00:08:46.880+02:00,2026-08-07T00:08:46.880+02:00,2026-08-07T00:08:46.888+02:00
20,C000020,clonalg_real_2gen_20260806_001,1,20,"[0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,1,1,1,1,1,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,2,2,2,2,1,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,1,2,2,2,0,1,1,1,1,2,2,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1]",f97faa8b1eac2a9019c0745f2ec3db264079c54dfd6efa45cd192ef075d8b4e8,c5d8afe8f4f3ca83feb0c58d97401e8417036a86a3d6e57a03497f5795f930e1,clone,C000002,3,2,trit_hypermutation,0.04387755102040816,"[26,121,134,151,157,165]",6,L-INIT-01,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000200.0,,2026-08-07T00:08:46.970+02:00,2026-08-07T00:08:46.970+02:00,2026-08-07T00:08:46.977+02:00
21,C000021,clonalg_real_2gen_20260806_001,1,21,"[0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,2,2,2,0,1,2,1,1,1,0,2,2,2,0,1,1,0,1,0,0,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,1,1,1,1,2,0,2,2,2,0,1,1,1,1,2,2,2,0,2,0,1,1,1,1,0,2,2,2,2,0,1,1,1,1,2,2,2,2,1,0,1,1,1,1,2,1,2,2,2,0,1,1,1,1,2,2,2,2,0,0,1,1,1,1,0,2,2,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1]",1e08c84467fd321e5f123f559a2d4e7346c49cb2455491336007e54b5d65f4c0,9fb31ccab780805d6df89e41d14509822ba4239b08063443316a008a386ccb96,clone,C000002,3,3,trit_hypermutation,0.04387755102040816,"[26,36,47,49,71,83,111,124,130,143,171]",11,L-INIT-01,rejected,rejected,"[""FLOATING_IRON"",""SMALL_COPPER_ISLAND""]",,,1000400.0,,2026-08-07T00:08:47.067+02:00,2026-08-07T00:08:47.067+02:00,2026-08-07T00:08:47.074+02:00
